drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022DR,022TR,ARD,travel,P22_01,CAL,8,230,60,73.21127382,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022DR,022TR,ARD,travel,P22_02,CZE,3,52,14,16.55211408,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022DR,022TR,ARD,travel,P22_03,CYA,4,46,13,14.64225476,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022DR,022TR,ARD,travel,P22_04,CDU,1,101,25,32.1492985,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023DR,023TR,FID,display,P23_01,CYA,8,,125,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024DR,023TR,FID,display,P23_01,CYA,8,,125,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025DR,023TR,FID,display,P23_01,CYA,8,,125,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023DR,023TR,FID,display,P23_02,EBI,7,,90,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024DR,023TR,FID,display,P23_02,EBI,7,,90,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025DR,023TR,FID,display,P23_02,EBI,7,,90,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023DR,023TR,FID,display,P23_03,RH,5,206,72,65.57183655,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024DR,023TR,FID,display,P23_03,RH,5,206,72,65.57183655,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025DR,023TR,FID,display,P23_03,RH,5,206,72,65.57183655,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023DR,023TR,FID,display,P23_04,RH,4,243,60,77.34930234,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
